,customer,gender,age,card_name,date,merchant,amount,company,installment,location,category,point
39,C019,M,60,롯데백화점 FLEX카드,2022-10-11,자동차판매,1293,롯데카드,22,충남,자동차,L.POINT
40,C029,M,30,LOCA 365 카드,2023-03-18,정육점,2452,롯데카드,8,광주,음/식료품,네이버 포인트
41,C048,M,40,신한카드 Deep Oil,2022-09-21,항공,2791,신한카드,6,대구,여행/교통,마이신한포인트
42,C033,F,40,BLISS.7 카드(포인트),2022-06-24,편의점,57321,IBK기업은행,31,경기,유통,TOP POINT1
43,C047,F,20,현대카드 X BOOST,2023-05-08,LPG,6554,현대카드,6,대전,주유,네이버 포인트
44,C024,F,30,BeV V카드(스카이패스형),2023-04-20,백화점,14347,KB국민카드,14,전북,유통,포인트리
45,C046,F,60,신한카드 Deep Dream Platinum+,2022-12-17,주유소,4031,신한카드,12,서울,주유,마이신한포인트
46,C007,F,20,신세계 BC 바로 콰트로 플러스,2022-12-13,화장품,6655,BC카드,1,울산,미용,TOP POINT2
47,C040,F,50,MULTI Young(멀티 영) 카드,2022-12-01,유아교육,4794,하나카드,28,전남,교육/학원,하나머니
48,C048,M,40,신한카드 Deep Oil,2023-03-16,주유소,2993,신한카드,6,부산,주유,마이신한포인트
49,C019,M,60,롯데백화점 FLEX카드,2022-09-21,결제대행(PG),269268,롯데카드,14,제주,전자상거래,네이버 포인트
50,C013,F,30,BC 바로 페이백 플러스,2022-07-28,온라인거래,100071,BC카드,16,경북,전자상거래,네이버 포인트
51,C002,F,30,카드의정석 POINT,2023-05-02,영화/공연,4527,우리카드,1,경북,스포츠/문화/레저,네이버 포인트
52,C007,F,20,카드의정석 SHOPPING,2022-12-20,중식,20774,우리카드,2,부산,요식/유흥,네이버 포인트
53,C042,M,60,삼성카드 taptap O,2023-02-01,입시보습학원,12595,삼성카드,32,경기,교육/학원,보너스포인트
54,C005,F,60,NH올원 Shopping&11번가카드(R2타입),2022-06-30,온라인거래,229485,NH농협카드,21,충남,전자상거래,네이버 포인트
55,C003,M,20,LOCA LIKIT - Manhattan Yellow,2022-06-28,가전,1645,롯데카드,34,충북,가전/가구,네이버 포인트
56,C021,F,40,청춘대로 톡톡카드,2022-11-11,KTX,2440,KB국민카드,27,경북,여행/교통,포인트리
57,C024,F,30,마일앤조이카드(대한항공),2022-09-01,여행사,3623,IBK기업은행,6,광주,여행/교통,네이버 포인트
58,C031,M,20,IBK 무직타이거 카드(신용),2023-01-21,디지털 콘텐츠,142024,IBK기업은행,19,경북,전자상거래,네이버 포인트
59,C045,F,60,K-FIRST (모바일전용),2022-07-11,미용서비스,6497,BC카드,6,대구,미용,네이버 포인트
60,C038,F,20,밸런스 카드,2022-06-12,세탁소,11768,BC카드,14,경기,가정생활/서비스,네이버 포인트
61,C003,M,20,LOCA LIKIT - Manhattan Yellow,2023-05-09,백화점,53084,롯데카드,0,경남,유통,L.POINT
62,C048,M,40,신한카드 Deep Oil,2022-10-25,가구,2115,신한카드,31,경남,가전/가구,마이신한포인트
63,C008,F,50,LOCA 365 카드,2022-06-04,가구,2510,롯데카드,2,서울,가전/가구,L.POINT
64,C014,M,30,ONE AIR(UniMile),2023-03-15,의복/의류,1549,IBK기업은행,26,서울,의류/잡화,네이버 포인트
65,C043,M,50,신한카드 Deep Dream Platinum+,2022-11-21,취미/전문학원,8425,신한카드,28,전남,교육/학원,네이버 포인트
66,C032,M,20,BC 바로 페이백 플러스,2022-11-05,패션/잡화,3079,BC카드,22,부산,의류/잡화,TOP POINT2
67,C003,M,20,LOCA LIKIT - Manhattan Yellow,2023-05-04,주유소,9319,롯데카드,3,전북,주유,L.POINT
68,C049,F,10,D4@카드의정석,2022-10-11,농수산물,11793,우리카드,30,경기,음/식료품,모아포인트
69,C029,M,30,현대카드 M BOOST,2023-02-13,노래방,1063,현대카드,4,경기,요식/유흥,M-POINT
70,C005,F,60,NH올원 Shopping&11번가카드(R2타입),2022-08-20,스포츠/레저용품,5714,NH농협카드,29,강원,스포츠/문화/레저,네이버 포인트
71,C009,F,60,알뜰교통카드,2022-07-08,자동차용품,1163,우리카드,7,울산,자동차,네이버 포인트
72,C034,F,50,마일앤조이카드(아시아나),2023-03-28,일식,11441,IBK기업은행,3,제주,요식/유흥,네이버 포인트
73,C044,F,30,카드의정석 SHOPPING,2022-10-14,가구,2953,우리카드,11,경남,가전/가구,모아포인트
74,C017,M,60,하나 CLUB H 아메리칸 익스프레스 리저브 카드,2023-01-09,취미/전문학원,14348,하나카드,24,대구,교육/학원,네이버 포인트
75,C006,F,70,알뜰교통카드,2022-12-30,주유소,2314,우리카드,30,대구,주유,모아포인트
76,C002,F,30,카드의정석 POINT,2022-09-17,자동차용품,1442,우리카드,23,서울,자동차,모아포인트
77,C008,F,50,LOCA 365 카드,2022-07-13,가구,2738,롯데카드,6,경북,가전/가구,네이버 포인트
78,C007,F,20,신세계 BC 바로 콰트로 플러스,2023-05-03,온라인거래,289009,BC카드,25,전북,전자상거래,네이버 포인트
79,C032,M,20,BC 바로 페이백 플러스,2022-08-30,한의원,12061,BC카드,28,경남,의료,네이버 포인트
80,C002,F,30,카드의정석 POINT,2022-08-02,면세점,9387,우리카드,10,인천,여행/교통,모아포인트
81,C014,M,30,ONE AIR(UniMile),2022-05-13,가전,1956,IBK기업은행,22,울산,가전/가구,TOP POINT1
82,C050,M,10,탄탄대로 올쇼핑 티타늄카드,2023-01-14,LPG,9284,KB국민카드,5,인천,주유,네이버 포인트
83,C029,M,30,LOCA 365 카드,2022-12-06,세탁소,32776,롯데카드,27,경북,가정생활/서비스,네이버 포인트
84,C010,M,60,톡톡D 카드,2022-06-29,자동차서비스,1337,KB국민카드,31,충남,자동차,포인트리
85,C020,M,70,다담카드,2022-08-20,생활서비스,13631,KB국민카드,6,대전,가정생활/서비스,포인트리
86,C017,M,60,하나 CLUB H 아메리칸 익스프레스 리저브 카드,2022-11-27,스포츠시설,4947,하나카드,25,전남,스포츠/문화/레저,하나머니
87,C030,M,50,현대카드ZERO Edition2(할인형),2022-12-31,생활잡화,38627,현대카드,31,경기,유통,네이버 포인트
88,C006,F,70,알뜰교통카드,2022-08-07,KTX,24330,우리카드,35,부산,여행/교통,모아포인트
89,C038,F,20,별다줄카드,2022-10-21,독서실,9955,NH농협카드,28,부산,교육/학원,네이버 포인트
90,C033,F,40,the Green Edition2,2022-08-08,취미/오락,2907,현대카드,30,인천,스포츠/문화/레저,M-POINT
91,C045,F,60,신한카드 Deep Dream(모베러웍스),2023-03-16,자동차용품,1156,신한카드,31,경남,자동차,네이버 포인트
92,C005,F,60,LOCA LIKIT - New York Blue,2022-10-02,할인점/슈퍼마켓,35959,롯데카드,19,인천,유통,네이버 포인트
93,C013,F,30,LOCA LIKIT 1.2,2022-12-20,주유소,1254,롯데카드,0,세종,주유,네이버 포인트
94,C002,F,30,카드의정석 POINT,2022-07-05,안경,2153,우리카드,12,대구,의류/잡화,모아포인트
95,C029,M,30,LOCA 365 카드,2022-07-13,호텔,17318,롯데카드,5,전남,여행/교통,L.POINT
96,C022,M,30,카드의정석 UniMile,2023-02-19,배달앱,318850,우리카드,19,경기,전자상거래,네이버 포인트
97,C026,M,20,롯데백화점 FLEX카드,2022-09-02,가구,2452,롯데카드,0,세종,가전/가구,L.POINT
98,C010,M,60,톡톡D 카드,2023-02-19,가전,2221,KB국민카드,27,대구,가전/가구,포인트리
99,C002,F,30,카드의정석 POINT,2022-10-31,네이버 쇼핑,159205,우리카드,12,충북,전자상거래,모아포인트
100,C034,F,50,마일앤조이카드(아시아나),2022-10-21,미용서비스,11484,IBK기업은행,9,대구,미용,네이버 포인트
101,C035,F,60,American Express Gold Card,2023-03-26,의복/의류,2014,현대카드,2,울산,의류/잡화,M-POINT
102,C001,M,60,현대카드ZERO Edition2(할인형),2022-10-25,자동차용품,1269,현대카드,26,경기,자동차,M-POINT
103,C019,M,60,롯데백화점 FLEX카드,2023-02-23,온라인거래,42981,롯데카드,33,대구,전자상거래,네이버 포인트
104,C026,M,20,롯데백화점 FLEX카드,2023-03-11,약국,2868,롯데카드,9,경남,의료,네이버 포인트
105,C041,M,30,LOCA LIKIT Play,2022-07-30,백화점,6335,롯데카드,20,경남,유통,네이버 포인트
106,C021,F,40,청춘대로 톡톡카드,2022-07-12,커피,21802,KB국민카드,32,서울,요식/유흥,포인트리
107,C044,F,30,Smart Any 카드(스마트애니),2022-12-10,자동차서비스,1308,하나카드,10,대전,자동차,하나머니
108,C005,F,60,LOCA LIKIT - New York Blue,2023-01-12,공과금,19643,롯데카드,1,대구,가정생활/서비스,네이버 포인트
109,C045,F,60,신한카드 Deep Dream(모베러웍스),2022-07-12,할인점/슈퍼마켓,64240,신한카드,32,세종,유통,마이신한포인트
110,C013,F,30,LOCA LIKIT 1.2,2022-10-29,양식,30970,롯데카드,22,충북,요식/유흥,네이버 포인트
111,C036,F,40,MULTI On(멀티 온) 카드,2023-01-18,홈쇼핑,248961,하나카드,21,대구,전자상거래,네이버 포인트
112,C043,M,50,탄탄대로 올쇼핑 티타늄카드,2022-09-02,정육점,35278,KB국민카드,8,경남,음/식료품,포인트리
113,C037,F,40,내맘대로 쁨 카드,2022-05-12,교육용품,6508,하나카드,18,인천,교육/학원,네이버 포인트
114,C040,F,50,신한카드 Mr.Life,2022-11-02,가전,1536,신한카드,33,경기,가전/가구,네이버 포인트
115,C031,M,20,삼성카드 taptap O,2023-01-31,자동차판매,1260,삼성카드,29,경기,자동차,네이버 포인트
116,C032,M,20,BC 바로 페이백 플러스,2022-10-17,통신,23857,BC카드,35,충남,가정생활/서비스,TOP POINT2
117,C043,M,50,탄탄대로 올쇼핑 티타늄카드,2023-02-27,한식,12507,KB국민카드,27,세종,요식/유흥,네이버 포인트
118,C029,M,30,현대카드 M BOOST,2023-02-19,교육용품,12464,현대카드,16,인천,교육/학원,M-POINT
119,C020,M,70,다담카드,2022-07-10,농수산물,1111,KB국민카드,29,충남,음/식료품,네이버 포인트
120,C029,M,30,현대카드 M BOOST,2022-11-21,화원,3719,현대카드,32,세종,스포츠/문화/레저,네이버 포인트
121,C050,M,10,신한카드 B.Big(삑),2023-04-10,자동차용품,1228,신한카드,9,제주,자동차,마이신한포인트
122,C028,M,40,MULTI Oil(멀티 오일) 카드,2022-12-04,자동차판매,1222,하나카드,19,충남,자동차,하나머니
123,C021,F,40,청춘대로 톡톡카드,2023-02-04,약국,4388,KB국민카드,8,강원,의료,네이버 포인트
124,C041,M,30,KB국민 My WE:SH 카드,2022-07-22,배달앱,334077,KB국민카드,25,광주,전자상거래,포인트리
125,C036,F,40,MULTI On(멀티 온) 카드,2022-12-22,농수산물,14360,하나카드,15,세종,음/식료품,네이버 포인트
126,C019,M,60,BC 바로 에어 플러스,2023-03-26,화원,5511,BC카드,29,충남,스포츠/문화/레저,TOP POINT2
127,C026,M,20,롯데백화점 FLEX카드,2023-03-11,가전,1349,롯데카드,31,전남,가전/가구,네이버 포인트
128,C018,M,50,삼성 iD SIMPLE 카드,2022-12-12,백화점,27418,삼성카드,14,전북,유통,보너스포인트
129,C043,M,50,탄탄대로 올쇼핑 티타늄카드,2022-09-18,네이버 쇼핑,295046,KB국민카드,24,제주,전자상거래,포인트리
130,C011,M,30,올바른 MYPICK 카드,2022-12-23,가구,1037,NH농협카드,34,울산,가전/가구,네이버 포인트
131,C016,M,40,NH20 해봄카드,2022-12-21,양식,18578,NH농협카드,5,대구,요식/유흥,네이버 포인트
132,C039,M,50,카드의정석 WOWRI,2023-05-08,세탁소,31239,우리카드,10,경기,가정생활/서비스,네이버 포인트
133,C020,M,70,신한카드 Deep Dream Platinum+,2022-11-15,정육점,12695,신한카드,19,세종,음/식료품,네이버 포인트
134,C030,M,50,삼성카드 taptap O,2023-02-11,가전,1535,삼성카드,16,제주,가전/가구,보너스포인트
135,C050,M,10,신한카드 B.Big(삑),2022-12-09,의복/의류,3095,신한카드,1,강원,의류/잡화,마이신한포인트
136,C030,M,50,삼성카드 taptap O,2022-12-04,의복/의류,1744,삼성카드,2,울산,의류/잡화,네이버 포인트
137,C022,M,30,ONE AIR(UniMile),2022-07-14,유아교육,7043,IBK기업은행,19,서울,교육/학원,TOP POINT1
138,C032,M,20,BC 바로 페이백 플러스,2022-12-01,문화용품,2984,BC카드,16,강원,스포츠/문화/레저,TOP POINT2
139,C003,M,20,LOCA LIKIT - Manhattan Yellow,2023-01-17,스포츠시설,4024,롯데카드,10,충남,스포츠/문화/레저,L.POINT
140,C004,F,40,LOCA LIKIT 1.2,2022-09-21,스포츠/레저용품,2602,롯데카드,25,충남,스포츠/문화/레저,L.POINT
141,C018,M,50,삼성 iD SIMPLE 카드,2022-10-13,자동차용품,1481,삼성카드,7,강원,자동차,보너스포인트
142,C009,F,60,다담카드,2022-12-05,네이버 쇼핑,297183,KB국민카드,35,경기,전자상거래,포인트리
143,C036,F,40,MULTI On(멀티 온) 카드,2022-06-19,면세점,10546,하나카드,9,대전,여행/교통,하나머니
144,C003,M,20,LOCA LIKIT - Manhattan Yellow,2023-04-17,화장품,10129,롯데카드,30,경북,미용,네이버 포인트
145,C024,F,30,BeV V카드(스카이패스형),2023-03-09,여행사,3370,KB국민카드,8,전남,여행/교통,네이버 포인트
146,C033,F,40,BLISS.7 카드(포인트),2023-02-03,일반병원,8811,IBK기업은행,13,광주,의료,TOP POINT1
147,C017,M,60,NH20 해봄카드,2023-04-27,자동차서비스,1313,NH농협카드,24,광주,자동차,NH포인트
148,C021,F,40,청춘대로 톡톡카드,2022-10-04,LPG,2113,KB국민카드,5,광주,주유,포인트리
149,C008,F,50,LOCA 365 카드,2023-03-22,미용서비스,12162,롯데카드,31,광주,미용,네이버 포인트
150,C049,F,10,D4@카드의정석,2022-07-04,가구,1816,우리카드,19,충북,가전/가구,모아포인트
151,C021,F,40,1Q Daily+,2022-07-06,치과병원,1775,하나카드,10,충북,의료,하나머니
152,C021,F,40,1Q Daily+,2022-06-19,제과점,3692,하나카드,7,대전,요식/유흥,네이버 포인트
153,C025,F,50,Oil & Life카드(Oil카드),2022-05-11,패션/잡화,2328,IBK기업은행,4,강원,의류/잡화,네이버 포인트
154,C032,M,20,BC 바로 페이백 플러스,2022-06-22,한의원,8811,BC카드,4,대구,의료,네이버 포인트
155,C017,M,60,NH20 해봄카드,2022-08-07,화원,4019,NH농협카드,15,강원,스포츠/문화/레저,NH포인트
156,C017,M,60,NH20 해봄카드,2023-02-22,독서실,9697,NH농협카드,19,강원,교육/학원,NH포인트
157,C012,F,30,신한카드 B.Big(삑),2022-10-17,일반병원,1831,신한카드,32,전남,의료,마이신한포인트
158,C025,F,50,신한카드 래플(Raffle),2022-11-12,생활서비스,26442,신한카드,3,세종,가정생활/서비스,네이버 포인트
159,C032,M,20,BC 바로 페이백 플러스,2022-06-20,백화점,23025,BC카드,32,대전,유통,TOP POINT2
160,C048,M,40,신한카드 Deep Oil,2022-07-04,주유소,10583,신한카드,10,충남,주유,마이신한포인트
161,C050,M,10,신한카드 B.Big(삑),2022-11-22,생활잡화,11010,신한카드,17,전북,유통,마이신한포인트
162,C019,M,60,롯데백화점 FLEX카드,2022-06-01,취미/전문학원,8794,롯데카드,1,충남,교육/학원,네이버 포인트
163,C047,F,20,KB국민 My WE:SH 카드,2023-03-12,업무서비스,24569,KB국민카드,8,광주,가정생활/서비스,포인트리
164,C028,M,40,MULTI Oil(멀티 오일) 카드,2022-12-06,농수산물,21853,하나카드,21,제주,음/식료품,하나머니
165,C036,F,40,삼성카드 & MILEAGE PLATINUM (스카이패스),2022-11-09,업무서비스,31639,삼성카드,24,경남,가정생활/서비스,네이버 포인트
166,C014,M,30,ONE AIR(UniMile),2022-06-12,문화용품,5138,IBK기업은행,2,전북,스포츠/문화/레저,네이버 포인트
167,C021,F,40,1Q Daily+,2022-09-17,주유소,4226,하나카드,17,충북,주유,하나머니
168,C035,F,60,별다줄카드,2022-06-02,지하철,11969,NH농협카드,3,전북,여행/교통,네이버 포인트
169,C027,M,40,MULTI Young(멀티 영) 카드,2023-04-05,주유소,9585,하나카드,34,인천,주유,하나머니
170,C049,F,10,D4@카드의정석,2022-10-14,가전,2062,우리카드,0,전북,가전/가구,모아포인트
171,C046,F,60,IBK-Hybrid(하이브리드)카드,2023-01-31,화장품,5785,IBK기업은행,25,경기,미용,TOP POINT1
172,C006,F,70,알뜰교통카드,2022-09-17,의복/의류,2658,우리카드,34,대구,의류/잡화,네이버 포인트
173,C010,M,60,톡톡D 카드,2023-04-18,백화점,16177,KB국민카드,31,부산,유통,네이버 포인트
174,C026,M,20,롯데백화점 FLEX카드,2022-05-17,할인점/슈퍼마켓,47138,롯데카드,19,울산,유통,L.POINT
175,C029,M,30,LOCA 365 카드,2022-07-15,택시,14016,롯데카드,30,광주,여행/교통,네이버 포인트
176,C023,M,20,탄탄대로 올쇼핑 티타늄카드,2022-10-03,취미/전문학원,2711,KB국민카드,16,서울,교육/학원,네이버 포인트
177,C002,F,30,카드의정석 POINT,2022-07-25,패스트푸드,24687,우리카드,5,전북,요식/유흥,모아포인트
178,C035,F,60,American Express Gold Card,2022-05-10,버스,16862,현대카드,11,충북,여행/교통,M-POINT
179,C038,F,20,별다줄카드,2022-11-07,가전,3078,NH농협카드,8,전북,가전/가구,네이버 포인트
180,C049,F,10,BC 바로 리워드 플러스,2022-10-28,정육점,7865,BC카드,7,전북,음/식료품,TOP POINT2
181,C032,M,20,BC 바로 페이백 플러스,2022-06-14,자동차판매,1091,BC카드,2,경남,자동차,TOP POINT2
182,C028,M,40,MULTI Oil(멀티 오일) 카드,2023-01-01,농수산물,31208,하나카드,32,광주,음/식료품,네이버 포인트
183,C041,M,30,KB국민 My WE:SH 카드,2022-08-19,생활잡화,17907,KB국민카드,2,대구,유통,네이버 포인트
184,C029,M,30,LOCA 365 카드,2022-12-16,의복/의류,1646,롯데카드,33,경남,의류/잡화,네이버 포인트
185,C037,F,40,내맘대로 쁨 카드,2022-12-19,가전,2290,하나카드,9,인천,가전/가구,네이버 포인트
186,C010,M,60,톡톡D 카드,2022-08-16,생활잡화,75207,KB국민카드,17,서울,유통,네이버 포인트
187,C016,M,40,NH20 해봄카드,2023-02-25,중식,12123,NH농협카드,20,경기,요식/유흥,NH포인트
188,C014,M,30,ONE AIR(UniMile),2023-03-18,농수산물,17285,IBK기업은행,27,울산,음/식료품,TOP POINT1
189,C032,M,20,BC 바로 페이백 플러스,2023-03-18,결제대행(PG),174758,BC카드,18,충남,전자상거래,TOP POINT2
190,C026,M,20,롯데백화점 FLEX카드,2022-12-13,생활잡화,7938,롯데카드,34,강원,유통,L.POINT
191,C011,M,30,올바른 MYPICK 카드,2022-08-28,가구,1670,NH농협카드,30,충북,가전/가구,네이버 포인트
192,C050,M,10,탄탄대로 올쇼핑 티타늄카드,2022-12-02,자동차판매,1203,KB국민카드,21,경남,자동차,포인트리
193,C037,F,40,내맘대로 쁨 카드,2023-02-26,종합병원,4545,하나카드,26,강원,의료,하나머니
194,C043,M,50,신한카드 Deep Dream Platinum+,2022-10-13,정육점,43861,신한카드,7,서울,음/식료품,마이신한포인트
195,C037,F,40,별다줄카드,2023-02-02,화장품,6413,NH농협카드,19,광주,미용,네이버 포인트
196,C003,M,20,LOCA LIKIT - Manhattan Yellow,2022-08-21,가구,2853,롯데카드,10,대전,가전/가구,네이버 포인트
197,C021,F,40,청춘대로 톡톡카드,2023-01-20,자동차판매,1370,KB국민카드,8,대전,자동차,포인트리
198,C027,M,40,MULTI Young(멀티 영) 카드,2022-12-24,생활서비스,20659,하나카드,15,대구,가정생활/서비스,네이버 포인트
199,C005,F,60,NH올원 Shopping&11번가카드(R2타입),2023-02-14,미용실,10979,NH농협카드,3,광주,미용,NH포인트
200,C031,M,20,IBK 무직타이거 카드(신용),2023-04-08,가구,2001,IBK기업은행,24,부산,가전/가구,TOP POINT1
201,C019,M,60,BC 바로 에어 플러스,2023-02-13,주유소,7666,BC카드,10,전북,주유,TOP POINT2
202,C015,M,60,현대카드ZERO Edition2(할인형),2022-09-29,정육점,6775,현대카드,0,서울,음/식료품,네이버 포인트
203,C006,F,70,알뜰교통카드,2022-09-27,LPG,8784,우리카드,31,강원,주유,모아포인트
204,C045,F,60,신한카드 Deep Dream(모베러웍스),2022-11-03,네이버 쇼핑,192030,신한카드,26,부산,전자상거래,마이신한포인트
205,C023,M,20,탄탄대로 올쇼핑 티타늄카드,2022-12-25,놀이공원,2488,KB국민카드,33,전북,스포츠/문화/레저,네이버 포인트
206,C046,F,60,신한카드 Deep Dream Platinum+,2022-07-09,문화용품,4413,신한카드,15,강원,스포츠/문화/레저,네이버 포인트
207,C049,F,10,BC 바로 리워드 플러스,2023-03-01,노래방,21887,BC카드,7,강원,요식/유흥,TOP POINT2
208,C008,F,50,1Q Daily+,2022-12-03,LPG,4078,하나카드,31,대구,주유,하나머니
209,C017,M,60,하나 CLUB H 아메리칸 익스프레스 리저브 카드,2022-05-31,가구,1074,하나카드,29,인천,가전/가구,하나머니
210,C007,F,20,신세계 BC 바로 콰트로 플러스,2022-11-19,패스트푸드,12048,BC카드,14,울산,요식/유흥,네이버 포인트
211,C002,F,30,카드의정석 POINT,2022-11-11,독서실,12357,우리카드,17,광주,교육/학원,네이버 포인트
212,C035,F,60,American Express Gold Card,2022-05-30,놀이공원,2497,현대카드,19,대전,스포츠/문화/레저,네이버 포인트
213,C036,F,40,삼성카드 & MILEAGE PLATINUM (스카이패스),2022-08-21,생활잡화,85703,삼성카드,30,서울,유통,보너스포인트
214,C001,M,60,현대카드ZERO Edition2(할인형),2022-07-19,쿠팡,117945,현대카드,23,세종,전자상거래,네이버 포인트
215,C043,M,50,탄탄대로 올쇼핑 티타늄카드,2022-09-09,주유소,1939,KB국민카드,12,경남,주유,네이버 포인트
216,C016,M,40,NH20 해봄카드,2022-10-22,백화점,3941,NH농협카드,15,제주,유통,네이버 포인트
217,C028,M,40,롯데백화점 롯데카드,2022-10-07,가전,1639,롯데카드,13,경북,가전/가구,L.POINT
218,C030,M,50,현대카드ZERO Edition2(할인형),2022-08-05,자동차용품,1066,현대카드,34,대구,자동차,M-POINT
219,C046,F,60,신한카드 Deep Dream Platinum+,2023-03-30,주유소,3831,신한카드,7,전북,주유,네이버 포인트
220,C010,M,60,톡톡D 카드,2023-02-23,의복/의류,1390,KB국민카드,23,강원,의류/잡화,네이버 포인트
221,C035,F,60,American Express Gold Card,2022-07-09,홈쇼핑,233721,현대카드,9,전남,전자상거래,M-POINT
222,C022,M,30,카드의정석 UniMile,2023-02-05,화장품,11007,우리카드,2,충남,미용,네이버 포인트
223,C035,F,60,별다줄카드,2022-05-25,패션/잡화,1927,NH농협카드,7,대전,의류/잡화,NH포인트
224,C022,M,30,ONE AIR(UniMile),2023-03-23,약국,11818,IBK기업은행,11,광주,의료,TOP POINT1
225,C037,F,40,별다줄카드,2023-02-05,가전,1110,NH농협카드,3,충북,가전/가구,네이버 포인트
226,C011,M,30,BC 바로 페이백 플러스,2022-09-17,항공,12796,BC카드,19,경북,여행/교통,네이버 포인트
